"lineno","category","level","message","thread","timestampIso8601"
"1","org.apache.activemq.xbean.XBeanBrokerFactory$1","INFO","Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6b09bb57: startup date [Sat May 02 07:26:22 CEST 2020]; root of context hierarchy","main","2020-05-02 07:26:22,294"
"2","org.apache.activemq.broker.BrokerService","INFO","Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\berni3\Downloads\apache-activemq-5.15.12-bin\apache-activemq-5.15.12\bin\..\data\kahadb]","main","2020-05-02 07:26:23,516"
"3","org.apache.activemq.store.kahadb.plist.PListStoreImpl","INFO","PListStore:[C:\Users\berni3\Downloads\apache-activemq-5.15.12-bin\apache-activemq-5.15.12\bin\..\data\localhost\tmp_storage] started","main","2020-05-02 07:26:24,567"
"4","org.apache.activemq.broker.BrokerService","INFO","Apache ActiveMQ 5.15.12 (localhost, ID:DESKTOP-GHTTUME-64231-1588397184645-0:1) is starting","main","2020-05-02 07:26:24,817"
"5","org.apache.activemq.transport.TransportServerThreadSupport","INFO","Listening for connections at: tcp://DESKTOP-GHTTUME:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600","main","2020-05-02 07:26:24,871"
"6","org.apache.activemq.broker.TransportConnector","INFO","Connector openwire started","main","2020-05-02 07:26:24,875"
"7","org.apache.activemq.transport.TransportServerThreadSupport","INFO","Listening for connections at: amqp://DESKTOP-GHTTUME:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600","main","2020-05-02 07:26:24,893"
"8","org.apache.activemq.broker.TransportConnector","INFO","Connector amqp started","main","2020-05-02 07:26:24,895"
"9","org.apache.activemq.transport.TransportServerThreadSupport","INFO","Listening for connections at: stomp://DESKTOP-GHTTUME:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600","main","2020-05-02 07:26:24,895"
"10","org.apache.activemq.broker.TransportConnector","INFO","Connector stomp started","main","2020-05-02 07:26:24,895"
